model,target,target_std,oof_mae,oof_r2,oof_spearman
ensemble,pred_minus_ensemble,0.0,0.0,1.0,
cheme_seed10_top500,pred_minus_ensemble,0.12652457207285922,0.06888832284165164,0.4152371786954786,0.6018395784837342
cheme_seed10_default,pred_minus_ensemble,0.07981732135121164,0.05757274773634426,0.03114905403266155,0.17225855471652887
chemprop_family_meta,pred_minus_ensemble,0.05065808979390612,0.02854863596612281,0.35715687837902854,0.584287960269889
mordred_singleconc,pred_minus_ensemble,0.358557825079354,0.19862982901840298,0.40161045744303814,0.5848620991235186
chemprop_embed,pred_minus_ensemble,0.20103644477185506,0.1330818907295352,0.09860669456869331,0.247046598563442
kermt_embed,pred_minus_ensemble,0.25271050336424633,0.14972733517958123,0.2837093488644923,0.49828429068964
molformer_c3_embed,pred_minus_ensemble,0.3230642602923606,0.18548192624038426,0.3275631825054425,0.5366782725195375
gatedgcn_embed,pred_minus_ensemble,0.3023742964861394,0.16619746123420365,0.408395257254072,0.5955984410784025
attentivefp_embed,pred_minus_ensemble,0.32085389061368563,0.17846410326993972,0.39497962256627916,0.5917278662661557
boltz_allpairs,pred_minus_ensemble,0.35081405176132135,0.14600527591270504,0.6661021913563809,0.7608295592402855
boltz_core,pred_minus_ensemble,0.3584878190309556,0.15214407786069373,0.6521079943402383,0.7504084294839415
