model,experiment,mae,spearman,pred_mean,pred_std,corr_vs_ensemble,mean_abs_delta_vs_ensemble
ensemble,ens_caruana_bag20,0.3945076670542619,0.847811395532887,4.333026943641753,0.9353466216157024,1.0,0.0
cheme_seed10_top500,tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_top500_umap,0.39675769064081023,0.8484556992619744,4.3253958613976184,0.9821336578350711,0.9924782777815808,0.09036639814514709
chemprop_family_meta,tabpfn_chemprop_family_meta_umap,0.3975980996893238,0.8444754624440247,4.333330503274085,0.9439581935576966,0.9985887396325498,0.03618110297939065
cheme_seed10_default,tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default,0.40558896016072676,0.8400895211058056,4.335281966849801,0.9360787367558739,0.996362166650287,0.05865965053635532
mordred_singleconc,lgbm_mordred_singleconc_umap_default,0.42509065904963667,0.8328837994665643,4.324792946801583,0.912103809451831,0.9249686431747907,0.25330069028098945
chemprop_embed,tabpfn_chemprop_pretrain_embed_umap_default,0.4372576836080381,0.8101880741181076,4.338882172625998,0.9437397043426371,0.9771473189904477,0.13890005639290914
kermt_embed,tabpfn_kermt_pretrain_embed_umap_default,0.44853480390339223,0.7918927811888501,4.3397508100611,0.9280357393783694,0.9632450634862161,0.1767450485983014
gatedgcn_embed,tabpfn_gatedgcn_pretrain_embed_umap_default,0.4740043258543765,0.7666556437311544,4.353061746744718,0.9020458987555461,0.9464747313869837,0.21306429858841405
molformer_c3_embed,tabpfn_molformer_c3_pretrain_embed_umap,0.47528282552905843,0.7646909652163575,4.316294361139841,0.9400460815633763,0.9406618224509063,0.22702771614197914
attentivefp_embed,tabpfn_attentivefp_pretrain_embed_umap_default,0.4843713908463874,0.7623285909383803,4.338537909903964,0.9094955469786477,0.9398849699844556,0.23070299599696922
boltz_allpairs,tabpfn_pooled_boltz_allpairs_umap_default,0.4860083343940095,0.7620054694533595,4.347021535226112,0.8982439154343551,0.9275777679987992,0.24729108234710642
boltz_core,tabpfn_pooled_boltz_umap_default,0.48607248774968626,0.7579506657822931,4.347937629418673,0.89872401492782,0.9243578951445347,0.2536689759750851
