molecule_name,pec50,raw,corrected_oof,raw_residual,corrected_residual,nn_potent46_tanimoto,no_aux,potent_shift,noaux_shift
OADMET-0006089,5.27,4.8786804939936665,4.8786804939936665,0.39131950600633303,0.39131950600633303,0.20689655172413793,False,0.0,0.0
OADMET-0006088,5.08,4.499548512986562,4.499548512986562,0.5804514870134376,0.5804514870134376,0.24705882352941178,False,0.0,0.0
OADMET-0006087,5.12,5.102359206005207,5.102359206005207,0.01764079399479268,0.01764079399479268,0.189873417721519,False,0.0,0.0
OADMET-0006086,5.23,4.542726265342489,4.542726265342489,0.6872737346575111,0.6872737346575111,0.24742268041237114,False,0.0,0.0
OADMET-0006085,5.28,4.982235862213431,4.982235862213431,0.2977641377865696,0.2977641377865696,0.2235294117647059,False,0.0,0.0
OADMET-0006084,4.5,4.371018732404246,4.371018732404246,0.128981267595754,0.128981267595754,0.2625,False,0.0,0.0
OADMET-0006083,4.66,5.188708260452863,5.188708260452863,-0.5287082604528628,-0.5287082604528628,0.25287356321839083,False,0.0,0.0
OADMET-0006082,5.18,4.170579633782211,4.170579633782211,1.009420366217789,1.009420366217789,0.18181818181818182,False,0.0,0.0
OADMET-0006081,4.31,4.449026929753498,4.449026929753498,-0.1390269297534985,-0.1390269297534985,0.2602739726027397,False,0.0,0.0
OADMET-0006080,4.24,4.9737269038135565,4.9737269038135565,-0.7337269038135563,-0.7337269038135563,0.18518518518518517,False,0.0,0.0
OADMET-0006079,5.3,4.297145193525888,4.297145193525888,1.0028548064741116,1.0028548064741116,0.1686746987951807,False,0.0,0.0
OADMET-0006078,4.19,4.696259829141561,4.696259829141561,-0.5062598291415608,-0.5062598291415608,0.2077922077922078,False,0.0,0.0
OADMET-0006077,5.07,4.932847224624412,4.932847224624412,0.13715277537558812,0.13715277537558812,0.18823529411764706,False,0.0,0.0
OADMET-0006076,5.12,4.951163871542921,4.951163871542921,0.1688361284570794,0.1688361284570794,0.19047619047619047,False,0.0,0.0
OADMET-0006075,5.03,5.096988696496464,5.096988696496464,-0.06698869649646344,-0.06698869649646344,0.2247191011235955,False,0.0,0.0
OADMET-0006074,5.14,4.812422119298027,4.823123531179759,0.32757788070197247,0.316876468820241,0.3246753246753247,False,0.035671372939105626,0.0
OADMET-0006073,5.07,4.96761873347088,4.96761873347088,0.10238126652911994,0.10238126652911994,0.24050632911392406,False,0.0,0.0
OADMET-0006072,5.44,4.589268830447521,4.589268830447521,0.8507311695524793,0.8507311695524793,0.2077922077922078,False,0.0,0.0
OADMET-0006071,3.96,4.430676397536565,4.430676397536565,-0.47067639753656465,-0.47067639753656465,0.20454545454545456,False,0.0,0.0
OADMET-0006070,4.36,4.768671358210369,4.768671358210369,-0.40867135821036893,-0.40867135821036893,0.1951219512195122,False,0.0,0.0
OADMET-0006069,5.19,4.994396677526455,4.994396677526455,0.19560332247354495,0.19560332247354495,0.23076923076923078,False,0.0,0.0
OADMET-0006068,4.76,4.674756105663707,4.674756105663707,0.0852438943362932,0.0852438943362932,0.2,False,0.0,0.0
OADMET-0006067,4.74,4.493426974768777,4.493426974768777,0.24657302523122304,0.24657302523122304,0.2804878048780488,False,0.0,0.0
OADMET-0006066,5.02,4.9797784309942745,4.9797784309942745,0.040221569005725044,0.040221569005725044,0.17647058823529413,False,0.0,0.0
OADMET-0006065,5.2,5.211284876101225,5.211284876101225,-0.011284876101225194,-0.011284876101225194,0.19318181818181818,False,0.0,0.0
OADMET-0006064,4.61,4.789859714785826,4.789859714785826,-0.17985971478582563,-0.17985971478582563,0.2948717948717949,False,0.0,0.0
OADMET-0006063,5.44,5.057923543568954,5.057923543568954,0.3820764564310464,0.3820764564310464,0.21794871794871795,False,0.0,0.0
