id,submission_name,file_path,pred_hash,lb_mae,lb_delta_vs_id48,lb_spearman,mean_shift_vs_id48,mean_abs_shift_vs_id48,p90_abs_shift_vs_id48,max_abs_shift_vs_id48,pearson_vs_id48,cosine_vs_id50_direction,projection_on_id50_direction,pc1,pc2,pc3,notes
48,ens_meta_axis_a343,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a343.csv,114d138369b0ffca5d9b6c20c3d553a933395f51,0.4074004936698981,0.0,0.8471828179505669,0.0,0.0,0.0,0.0,1.0,,0.0,-1.7908633211111675,0.2639890309675847,-0.6164763210908418,"LB-anchored interpolation on baseline9 -> family-meta axis. alpha=0.343 from quadratic fit through id32 alpha=0, id43 alpha=0.5, id42 alpha=1.0. No new model; low-upside defensive A/B. Expected MAE ~0.4074, below LB noise."
43,ens_hybrid_meta_baseline_5050,track1_activity/submissions/ens_hybrid_meta_baseline_5050.csv,a694afd26d7fd4a9d32251441311926a3ca73f17,0.4074838675224626,8.337385256446117e-05,0.8470495157914333,0.0012651721780587498,0.006371288201353808,0.014076367145494295,0.03641782353218481,0.9999421592972457,-0.25709053835966716,-0.07713700642333379,-1.7368989044706973,0.32270286107331225,-0.6989579944052076,"Hybrid 50/50 blend of id=32 baseline (9-pool) + id=42 meta (7-pool). Motivation: id=42 family meta showed Sp +0.0022 vs baseline (first Sp beat) but MAE +0.0013. Hypothesis: blend captures Sp gain while pulling MAE back. Pearson r between two predictions = 0.9976 (very high), so blend is mostly a small shift. OOF: MAE 0.3971 (base) -> 0.3967 (hybrid), Sp 0.8451 -> 0.8453, both within bag noise +-0.003 but directionally positive. family share zone of blend ~0.65 (between 0.54 meta and 0.76 baseline), unmeasured zone. LB expectation: 0.4082-0.4088 range (between baseline 0.4078 and meta 0.4091). NOT a winning bullet, observation point. importance calibrator applied to baseline only (meta brings its own from id=42 era)."
31,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,a5a1049448de4c4efd536757a4629ea1d7044458,0.4078471063458229,0.0004466126759247735,0.8454463307068544,-0.002764038580091003,0.013919438554550006,0.03075282758538016,0.07956250618814797,0.9997287475269171,0.2570905383596995,0.16852224970195442,-1.9087601039626343,0.13571614099136667,-0.43627750614289024,"Plan A multi-seed pretrain. chemprop pretrain re-run with seeds [43,44,45,46] in addition to seed=42. 5-seed mean log2fc_pred parquet. cheme_2d_full_boltz_log2fc_pred default + top500 swapped to seed5ens variants (DOUBLE SWAP). Single-model OOF: default 0.4213->0.4069, top500 0.4181->0.3988 (first sub-0.40). Caruana_bag20 OOF 0.4150->0.4034 (delta -0.0116). Importance calibrator. Branch feature/chemfm-pool-add."
44,ens_caruana_bag20_anchor_residual,track1_activity/submissions/ens_caruana_bag20_anchor_residual.csv,4b3a283d6e16a33be0b22b7e6cfbc8c8497b5c0f,0.4090205188659963,0.0016200251960981626,0.8447606118985267,0.0007617553786248105,0.024290102557385805,0.04645481725604883,0.12770875960995465,0.9992428142410067,0.10443908059250488,0.10998905897011631,-1.8279058979314489,0.23221266342820376,-0.3699852832929777,"Codex proposal #2 anchor residual: base = caruana_bag20 + importance affine (slope 1.0917, int -0.3753); residual = LinearRegression on 4 anchor features (nn_tanimoto, anchor_pec50, base_pred, pred_minus_anchor) cross-validated on UMAP 5-fold; final = base + 0.4 * residual_hat. Linear coef nn_tanimoto +0.354 (other coefs |<0.04|). OOF MAE 0.3956 (delta -0.0006 vs base 0.3962, below noise floor but structural). |residual_hat| test max 0.162. Pool unchanged from id=43 (9-member caruana_bag20). Proximity-gated calibrator (proposal #1) was null (PR #151)."
46,ens_region_v2_blend_a8,track1_activity/submissions/ens_region_v2_blend_a8.csv,9b705bb90b2726c1e849dcaccf1fee26260a5a53,0.4091592405210825,0.0017587468511843785,0.8435311179844552,-0.00710471554201626,0.04919532804512976,0.10333520619574853,0.22751120848532125,0.9968056642153231,-0.0968053440600701,-0.21574523146892685,-2.1408653875806856,-0.07502313131787662,-0.4741839911379903,"Region-conditioned per-regime caruana with chemprop family cap 0.70 (V2). Hedged blend: 0.8 * V2 + 0.2 * base9pool. LightGBM adversarial classifier (AUC=0.9564) splits train into 4 quartiles; test 100% in Q4. V2 Q4 weights: top500=0.66, pooled_boltz=0.20, kermt=0.07, optuna_t10=0.04 (cap pushed). 5-seed stability 6/6 PASS (ΔM2 identical at -0.0040 across seeds, top500 std=0.012). Strict gate 4/4 PASS: ΔM2=-0.0035, ΔSp=+0.0026, Q4 family=0.712, all weights >= 0.01. Importance affine calibrator (slope=1.092, intercept=-0.375). Codex consult 2026-04-30 thread 019dddd8 recommended 0.8/0.2 for 6/6 stability."
50,ens_internal_decor_cap101_bf50_b40_i1_l20,track1_activity/submissions/ens_internal_decor_cap101_bf50_b40_i1_l20.csv,592a4ac8b98d3643f3c1561001146f57da2db5c7,0.4092437336283291,0.0018432399584309977,0.8457997747810736,-0.019245216666019246,0.023666117052823985,0.04530736740903647,0.07932099273843196,0.9996395182372719,1.0000000000000002,1.0,-1.4009191115701922,0.036825169973794286,-0.3959233342990662,"No external data. Internal decorrelated Caruana sweep blended 20% into id48 meta-axis anchor. trial11/admet/oe/drugclip/residual candidates excluded. Proxy delta MAE -0.00328, delta Sp +0.00312; test mean_abs shift vs id48 0.02367, p90 0.04531, max 0.07932."
45,ens_caruana_bag20_admet_ai_no_log2fc_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_admet_ai_no_log2fc_calibrated_importance.csv,4881d87c71cc2d4b6a5abe37a552a5319e1ac869,0.4093625824408419,0.0019620887709437818,0.8428619387501411,-0.006117468390782949,0.03226208413156959,0.07116635216012294,0.2166324122778467,0.9986153637954761,0.28497521401104564,0.4279622692674097,-2.013483981557435,-0.0006910312785612133,-0.1398842531361571,"10-pool ADD: 9-pool baseline + tabpfn_cheme_2d_full_boltz_admet_ai_top500_umap (chemeleon 300 + 2d_full_boltz 1801 [no log2fc] + ADMET-AI 104, top-500 LGBM gain, TabPFN). Caruana new member weight 0.025; ΔM2 calibrated OOF MAE -0.0018 (below strict -0.003 gate, borderline); ΔSp +0.0018; family share 0.824 (out of 0.65-0.80 zone but well below 0.85 trap). LB submission validates new M2 calibrated OOF MAE gate proxy (PR #155 finding)."
36,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,f29a9e283b375afcd7817285081375ae5131e103,0.4145866903151991,0.007186196645301013,0.8454463307068544,-0.06324638302306328,0.08056246258403214,0.14498249380886374,0.3838904640273384,0.9958792494796594,0.6942623644458155,2.305448965391039,-1.4110733602896401,-0.80534826694169,0.9999923788148457,"Calibrator A/B vs id=32 importance on 10-seed pool. linear_pos (= calibrated_best from 4-way nested CV) OOF MAE 0.4013 / Sp 0.8400 (ties with linear, beats spline_k5/isotonic). Pool unchanged from id=32 (ens_caruana_bag20 id=1887, 10-seed double-swap). Pearson/Spearman vs importance = 1.000000 (rank-preserving), pairwise |diff| mean 0.053 max 0.096, pred mean shifted -0.051 vs importance. Codex feedback: density-ratio importance still likely LB winner but linear_pos untested on 10-seed pool, worth A/B. Spearman gap to Yan/sia (-0.005..-0.007) NOT addressed by this swap (rank-preserving)."
20,ens_caruana_bag20_calibrated_blend,track1_activity/submissions/ens_caruana_bag20_calibrated_blend.csv,b6bc73bdcba4603efd270b732ba74a4e2db67059,0.4168366368422205,0.009436143172322387,0.8464345164717298,-0.021279611051794513,0.06967885305014444,0.14292231232507363,0.2689353775796257,0.9949604229380143,0.30377152530095997,0.925917608437357,-0.7101574688795016,0.5993715206848789,-0.7090378486639437,"Blend calibrator: (linear_pos + importance-weighted) / 2. linear_pos LB 0.4244 rank 7 Spearman 0.8481. importance LB 0.4154 rank 5 Spearman 0.8464. Blend tests if averaging MAE-best + Spearman-best calibrators gives balanced output. Expected MAE 0.418-0.420, Spearman 0.847."
49,ens_resid_lowd_core_ridge_a10p0_s50_hybrid,track1_activity/submissions/ens_resid_lowd_core_ridge_a10p0_s50_hybrid.csv,8812f4ac507e528e4cbe2cb850e9de52aff56650,0.4196878176889805,0.01228732401908239,0.8397551891276488,-0.01841149094300307,0.06694778292317531,0.1189516491209865,0.21685408035293197,0.9951330152778572,0.14961943912676626,0.41233649693484514,-1.5355652635842862,0.2231520122748527,-0.28185213834638845,"Track1 residual low-DoF correction on hybrid meta baseline. lowd_core Ridge alpha=10 shrink=0.50; OOF raw MAE 0.39709 -> 0.38879 (delta -0.00830), Spearman +0.00700; conservative mechanical residual probe; test mean_abs_shift 0.06769."
25,ens_caruana_bag20,track1_activity/submissions/ens_caruana_bag20.csv,d2d2d7306671eaf7320dc2c86381f8d74494838c,0.4290789893593625,0.021678495689464394,0.8467294563910583,-0.06134019744096314,0.07857812939892432,0.12688097576190815,0.16891757542154373,0.9997287475269172,0.6323584656197914,1.9412636422296254,-0.8006111869903075,-0.5513954828164362,0.6457447126594518,"swap_cheme_both_to_mixed (8-pool): drop cheme_full+cheme_top500, keep mixed_pool_top500. Fix for 2026-04-23 01:08 ADD-mixed LB regression (OOF 0.4108 -> LB 0.4200, caruana cheme-family wt=0.68). New caruana balanced across 8 (top wt_mixed=0.3772). OOF MAE 0.4142."
10,ens_vanilla,track1_activity/submissions/ens_vanilla.csv,7029bac397d8b0a879f3efe9189ce9ffdb519579,0.4772064783754661,0.06980598470556798,0.8089696428128891,-0.06483559625395417,0.08713928258104574,0.14580253794861928,0.4047700684992033,0.9962658292873282,0.6699323980663192,2.3542429075642226,-1.0715579743327108,-0.8107848855365116,1.1417085514440897,"PM 8-model prune: dropped 13 zero-weight LGBMs + 3 mixed LGBMs + 2 weak graph-nets (gin/graphgps). Swapped tabpfn_mordred_jazzy_umap -> tabpfn_2d_full_boltz_umap (workhorse: 2D+Boltz Tier0/1, OOF 0.5303). Pool = 5 DL graph + residual + 2 TabPFN. OOF RAE 0.5162 (vanilla strategy)."
12,tabpfn_2d_full_boltz_umap,track1_activity/submissions/tabpfn_2d_full_boltz_umap.csv,341c068b64b615ccd2e27bd307e56920cdb044dc,0.4901986309079051,0.082798137238007,0.7906625549149933,0.003522483007096191,0.23809127294802904,0.496430883620849,1.3547937274638184,0.912780933125017,0.4201907717470466,4.686357913831956,4.315535517859207,3.7371225178804357,0.7960284340214553,"Single-model baseline: tabpfn_2d_full_boltz (Optuna-tuned, n_est=28, temp=0.654). Strongest single member in ensemble pool, OOF MAE 0.4825. Testing LB behavior without ensemble to set solo reference."
9,ens_l2_a0.1,track1_activity/submissions/ens_l2_a0.1.csv,7aa0810626381ac189208e81140c27b8375772ac,0.4958329809469373,0.08843248727703917,0.7957622607252768,-0.06128596120738623,0.07992026600311834,0.13411193809715574,0.17048056624713137,0.9998764096016184,0.5826440710692611,1.8463077341885428,-0.6604371120967056,-0.48000749536761594,0.5498065470098412,"28-model pool with 3 mixed-tuned LGBMs added (mordred_jazzy, rdkit_desc_full, morgan_r2_2048). Mixed takes 23% total weight; OOF RAE 0.5209 vs 0.5257 UMAP-only baseline."
1,ens_l2_a0.05,track1_activity/submissions/ens_l2_a0.05.csv,11bfe74cd28584b89847f75464a2650ab24e5df5,0.5017546613967405,0.09435416772684241,0.798821169900953,-0.063241866822065,0.07895530809758797,0.1246336673755355,0.19098772600329506,0.9993224760913696,0.6365913734401625,1.9688546024016154,-0.8858661837198892,-0.6364246839337546,0.7302505217970626,"First canonical UMAP-only submission (PR #46). Pool: 20 models, Mordred family collapsed to mordred_jazzy, added chemprop_multitask5 aux0.0_tuned. Tests whether split-cleanup improves LB over ens_v7 0.62"
6,lgbm_mordred_jazzy_umap,track1_activity/submissions/lgbm_mordred_jazzy_umap.csv,b05c63f812bdaded761dfcf3950af1b552fe7174,0.5736643023301617,0.16626380866026363,0.7229895218061783,-0.12082319825563725,0.34565871089846334,0.6720228770914355,1.6516375531506577,0.8452053262200176,0.6520411244657519,9.781750175850938,7.648599839545136,-1.0604297971109617,0.04372999655879224,"UMAP-tuned single-model baseline for A/B comparison vs lgbm_mordred_jazzy_analog (submitted 2026-04-17 14:16 UTC, LB RAE=0.7289). Retry after bg script DNS failure at 18:18 UTC. Direct test of analog-vs-UMAP CV tuning on LB."
4,lgbm_mordred_jazzy_analog,track1_activity/submissions/lgbm_mordred_jazzy_analog.csv,b17f0b51c1a1428f2c99bb976c21248566850e57,0.5800392896586687,0.17263879598877058,0.7193447388792682,-0.12159526369717544,0.34978982316347235,0.6734405449519618,1.4662915607919844,0.8335925747511507,0.6568545964839637,10.133339731574406,7.930829900672942,-1.1309871429710174,-0.7846824717900736,"First single-model LB test of analog-aware CV hypothesis. OOF RAE=0.649, MAE=0.464 on analog val. Optuna 20 trials. Compare vs upcoming UMAP baseline (lgbm_mordred_jazzy_umap) to measure CV-selection effect on LB. [corrected 2026-04-17: prior backfill incorrectly matched rank 29 TangerineTrees; true rank=56 N283T]"
