global_feature_idx,feature,family,mean_abs_shap,mean_shap,max_abs_shap,n_explanations,lgbm_gain
2101,log2fc_pred__log2fc_8p25_pred,log2fc_pred,0.7207047376654101,-0.04180771568214956,1.8342784422049623,12,37727.550247958236
2082,boltz_tier1__pde_pocket_ligand_min,boltz_tier1_conf,0.21578819234184077,0.18818009149580384,2.163993471733969,12,33.97714115388226
865,mordred__GATS6d,mordred,0.19408110510654608,-0.17578561001463458,1.2685423625334746,12,34.6861109356978
2102,log2fc_pred__log2fc_33_pred,log2fc_pred,0.18719992677283928,-0.011795521436843709,0.665411776150768,12,2118.789875691582
535,mordred__MPC10,mordred,0.18247895105369705,0.13243386280514277,1.455911112125289,12,48.248690871638246
193,chemeleon_193,chemeleon,0.17069266237487138,0.15394719708478236,1.1623079836833876,12,21.09018894142355
946,mordred__MATS8i,mordred,0.17021770473775913,-0.06298710937894221,1.3287388580386925,12,9.797491292876657
854,mordred__GATS4v,mordred,0.1653548674586251,0.142788163357437,1.0265266826289692,12,14.941339195822366
372,mordred__JGI3,mordred,0.1637448013094072,-0.07605356371769685,1.218773018065663,12,10.613453554658918
2005,rdkit__FpDensityMorgan3,rdkit_full,0.1621883776524809,-0.1335443323772176,1.5395307381918277,12,18.478622229391476
102,chemeleon_102,chemeleon,0.15522154932894452,0.06841912500883349,1.301435319939447,12,8.74136588544934
160,chemeleon_160,chemeleon,0.15515488220808804,0.10548145416278214,1.221791771773771,12,21.754717628180515
682,mordred__AATS4v,mordred,0.15133085848726494,-0.02333216263699386,0.8107351081948267,12,18.30372161453124
832,mordred__GATS2c,mordred,0.15131412560573018,-0.1069349833799974,1.4581279700075427,12,8.913979754957836
81,chemeleon_081,chemeleon,0.15039980270217732,0.14266475996675224,1.0458023826802345,12,11.565493416506797
140,chemeleon_140,chemeleon,0.14806771435071686,0.12494901370349511,0.7646939545889766,12,20.698091857833788
808,mordred__ATSC8c,mordred,0.14764863934829253,-0.02085656787982189,0.7559732169644735,12,9.13970940739091
2095,boltz_tier1__plddt_res288,boltz_tier1_conf,0.14700812002254682,-0.019713132956294257,0.9842251118525622,12,14.35318990444648
798,mordred__ATSC6v,mordred,0.142309000925429,-0.11935503106889021,1.1628548186410224,12,9.932977771211881
276,chemeleon_276,chemeleon,0.1423045990671794,0.1215532515562812,1.2009166268651352,12,17.351428133493755
791,mordred__ATSC6Z,mordred,0.1414349839382251,-0.125118702634726,0.9852938570059667,12,9.246025859145448
797,mordred__ATSC6s,mordred,0.14015402992014692,0.11631985581450267,1.218440016431519,12,33.75129866541829
1186,mordred__GATS3dv,mordred,0.13990574600886843,-0.13014667345170777,1.0172783322249916,12,19.49472062382847
126,chemeleon_126,chemeleon,0.13726749630177762,0.10686532788043467,1.2813026071812867,12,14.741436490963679
1500,mordred__VR2_Dzse,mordred,0.13660394887719432,-0.12655242219090687,1.020067177453714,12,25.85988998413086
49,chemeleon_049,chemeleon,0.13456592331938885,-0.08737149942426337,0.8358726237000358,12,14.640066290972754
866,mordred__GATS6i,mordred,0.13427992550637893,0.09828835614961902,1.3625811490365978,12,13.891435196012026
222,chemeleon_222,chemeleon,0.13400613018852536,-0.0363610803810624,0.9256239893242759,12,26.351252160355216
2038,boltz_tier0__affinity_pred_value,boltz_tier0,0.13210557318758007,0.040402650284843696,0.8493551854094233,12,41.829444086615695
206,chemeleon_206,chemeleon,0.13205253445347911,-0.12425528105893639,1.1569527939465918,12,8.790357351885177
2041,boltz_tier0__affinity_probability_binary,boltz_tier0,0.1316593653888631,-0.087513860799739,1.0968077417544497,12,40.05876352090854
1268,mordred__SM1_Dzv,mordred,0.13113106698758673,-0.0633733873296692,0.8339750987861538,12,14.552949173259549
165,chemeleon_165,chemeleon,0.13078124794448207,0.08573674339213959,0.5734899717802272,12,17.471968375350116
129,chemeleon_129,chemeleon,0.12998775443642227,0.02742458468229571,0.6157861299347849,12,29.35002165354672
