SMILES,Molecule Name,pEC50
O=C(O)c1cccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c1,OADMET-0006617,4.2611734780460715
CN1CCN(C(=O)c2csnn2)c2ccc(F)cc21,OADMET-0006616,4.082945516294642
CC1CCCN(c2cc(C(=O)N3CCC(C(C)(C)C)C(O)C3)ccn2)C1,OADMET-0006615,5.373011898916528
Cc1ccc(O)c(S(=O)(=O)Nc2cccc(Cl)c2N2CCOCC2)c1,OADMET-0006614,5.579890848758264
CCn1ccnc1C1CCCCN1C(=O)c1c(C)nn(C)c1C,OADMET-0006613,4.598852440583219
O=C(c1cc(-c2ccco2)[nH]n1)N1CCc2ccccc21,OADMET-0006612,4.709995367756791
COc1ccccc1-n1ncc(C(=O)NC[C@]2(F)C[C@H](C(=O)O)C2)c1C,OADMET-0006611,3.2858649898744683
Cc1ccc(S(=O)(=O)Nc2cccc(F)c2)c(C)c1,OADMET-0006610,5.229803171235765
O=C(Nc1ccncc1)c1ccc(CNC(=O)C2CC=CCC2)cc1,OADMET-0006609,2.946448263994853
CN(C)c1cc(NC(=O)N2CCCc3ccccc3CC2)ncn1,OADMET-0006608,4.843870942082973
CC(C)(C)NS(=O)(=O)C1(CNc2ccncc2C#N)CCC1,OADMET-0006607,4.8892875785268615
Cc1csc(S(=O)(=O)NCC(O)c2cccc3ccccc23)c1,OADMET-0006606,5.446251451899451
Cc1nnc(CS(=O)(=O)Cc2c(C)cc(C(C)(C)C)cc2C)o1,OADMET-0006605,5.275506662104457
O=C(O)C1CCN(C(=O)C2CC23CCc2ccccc23)c2ccccc21,OADMET-0006604,4.814456450121801
O=C(O)C1Cc2ccccc2CN1C(=O)Cn1ncc(=O)c2ccccc21,OADMET-0006603,3.1014946043719975
CC(C)(C)NS(=O)(=O)C1(CNc2ccc(Cl)cc2C#N)CCC1,OADMET-0006602,5.9267306140901095
Cc1cccc(C(=O)N2CCN(C)c3cc(F)ccc32)n1,OADMET-0006601,5.134020223030177
Cn1nccc1S(=O)(=O)Nc1cnn(C(C)(C)C)c1,OADMET-0006600,4.3459164426624515
CC(NC(=O)c1cncc(Br)c1)c1cccnc1,OADMET-0006599,3.2264567101511776
Cc1noc2nc(-c3cccc(C(F)(F)F)c3)cc(C(=O)N3CC(C(C)O)C3)c12,OADMET-0006598,5.181475558969568
CC1CCCN(c2cc(C(=O)N3CCc4ccc(C#N)cc43)ccn2)C1,OADMET-0006597,5.620688576332817
CC1CCN(C(=O)C2CC23CCCNC3)c2c(O)cccc21,OADMET-0006596,4.455719050822052
CCOC(=O)NCCCC(=O)Nc1nn(Cc2ccccc2F)cc1Br,OADMET-0006595,4.739232987621541
Cn1nc2cc(Br)ccc2c1C(=O)N1CCCc2c(F)cccc21,OADMET-0006594,5.615435867068669
O=C(C1CC12CCc1ccccc12)N1CCC(c2nnc[nH]2)C1,OADMET-0006593,4.032138834268265
Cc1nc2c3ccccc3nc(SCCCC(=O)N(C)C)n2n1,OADMET-0006592,4.318859501759023
COc1cccc2c1CCCCN2C(=O)CCc1nc(C2CCCC2)no1,OADMET-0006591,5.577641139135848
CC1Cc2ccccc2N(C(=O)c2c3ccc(Br)cc3nn2C)C1,OADMET-0006590,5.854320741617704
Cc1cc(C)nc(N2CCCC2c2nncn2C)n1,OADMET-0006589,3.748075167123128
COc1ccccc1-n1ncc(C(=O)NCC(C)(O)c2ccccc2Cl)c1C,OADMET-0006588,5.481128123398435
Cc1ccc(S(=O)(=O)CC(=O)N2CCCCC2)cc1C,OADMET-0006587,5.064924760835182
COc1ccccc1-n1ncc(C(=O)NCC2(C)CSCCO2)c1C,OADMET-0006586,5.005383626518028
O=C(O)c1ccc(S(=O)(=O)Nc2cc3n(n2)CCCC3)cc1C(F)(F)F,OADMET-0006585,4.220536300677418
COc1ccccc1-n1ncc(C(=O)NC2CCOC(C)(C)C2)c1C,OADMET-0006584,4.711752120370226
CCc1n[nH]c(=O)c(CNC(=O)N2CC(C)(C)C2c2ccccc2)c1CC,OADMET-0006583,5.331285186972174
O=C(CNc1ccccc1)N1CCOC(c2ccc(F)cc2)C1,OADMET-0006582,4.51270853752656
CC(C)c1ccnc(N2CCN(C(=O)Nc3ccccc3C(F)(F)F)CC2)n1,OADMET-0006581,5.625265065886856
Cc1cc(S(=O)(=O)Nc2ccccc2CN(C)C)sc1C,OADMET-0006580,5.064084987839979
COC(=O)c1c(CSc2cc(F)c(F)c(F)c2)nn2c1CCCC2,OADMET-0006579,5.192429932264254
Cc1ccc(S(=O)(=O)N(C)Cc2ccco2)cc1C,OADMET-0006578,5.0742162798809485
CS(=O)(=O)Cc1ccc(C(=O)N2CCCCCc3ccccc32)o1,OADMET-0006577,5.394169876663206
O=S(=O)(Nc1cccc(Cl)c1N1CCOCC1)c1ccccc1Br,OADMET-0006576,5.774611644330824
O=C(c1ccc(OCC2CCCO2)cc1)N1CCn2cccc2C1c1ccccc1,OADMET-0006575,4.988962263551259
O=S(=O)(c1ccccc1-c1ccccc1)N1CCOCC1CC1CCOC1,OADMET-0006574,5.259405948939892
c1cnc(COc2ccc(NCC3(C4CCCO4)CC3)cc2)cn1,OADMET-0006573,3.7567194946287152
CC1CCN(C(=O)c2ccc(OCC(=O)O)cc2)c2c(O)cccc21,OADMET-0006572,3.940013941630954
