SMILES,Molecule Name,pEC50
O=C(O)c1cccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c1,OADMET-0006617,4.2630905199077365
CN1CCN(C(=O)c2csnn2)c2ccc(F)cc21,OADMET-0006616,4.0890186182136254
CC1CCCN(c2cc(C(=O)N3CCC(C(C)(C)C)C(O)C3)ccn2)C1,OADMET-0006615,5.370067362360336
Cc1ccc(O)c(S(=O)(=O)Nc2cccc(Cl)c2N2CCOCC2)c1,OADMET-0006614,5.578167956597952
CCn1ccnc1C1CCCCN1C(=O)c1c(C)nn(C)c1C,OADMET-0006613,4.5973866548446995
O=C(c1cc(-c2ccco2)[nH]n1)N1CCc2ccccc21,OADMET-0006612,4.713592250742382
COc1ccccc1-n1ncc(C(=O)NC[C@]2(F)C[C@H](C(=O)O)C2)c1C,OADMET-0006611,3.2852578044301413
Cc1ccc(S(=O)(=O)Nc2cccc(F)c2)c(C)c1,OADMET-0006610,5.23176720450957
O=C(Nc1ccncc1)c1ccc(CNC(=O)C2CC=CCC2)cc1,OADMET-0006609,2.946586966492632
CN(C)c1cc(NC(=O)N2CCCc3ccccc3CC2)ncn1,OADMET-0006608,4.846105048562534
CC(C)(C)NS(=O)(=O)C1(CNc2ccncc2C#N)CCC1,OADMET-0006607,4.896598924990279
Cc1csc(S(=O)(=O)NCC(O)c2cccc3ccccc23)c1,OADMET-0006606,5.447047258064191
Cc1nnc(CS(=O)(=O)Cc2c(C)cc(C(C)(C)C)cc2C)o1,OADMET-0006605,5.277591217030624
O=C(O)C1CCN(C(=O)C2CC23CCc2ccccc23)c2ccccc21,OADMET-0006604,4.814849905944382
O=C(O)C1Cc2ccccc2CN1C(=O)Cn1ncc(=O)c2ccccc21,OADMET-0006603,3.1080429416420925
CC(C)(C)NS(=O)(=O)C1(CNc2ccc(Cl)cc2C#N)CCC1,OADMET-0006602,5.925267879069679
Cc1cccc(C(=O)N2CCN(C)c3cc(F)ccc32)n1,OADMET-0006601,5.135327938883218
Cn1nccc1S(=O)(=O)Nc1cnn(C(C)(C)C)c1,OADMET-0006600,4.3503809919686205
CC(NC(=O)c1cncc(Br)c1)c1cccnc1,OADMET-0006599,3.2335059516139433
Cc1noc2nc(-c3cccc(C(F)(F)F)c3)cc(C(=O)N3CC(C(C)O)C3)c12,OADMET-0006598,5.179671541395084
CC1CCCN(c2cc(C(=O)N3CCc4ccc(C#N)cc43)ccn2)C1,OADMET-0006597,5.618640868025152
CC1CCN(C(=O)C2CC23CCCNC3)c2c(O)cccc21,OADMET-0006596,4.459302163083608
CCOC(=O)NCCCC(=O)Nc1nn(Cc2ccccc2F)cc1Br,OADMET-0006595,4.739431259875809
Cn1nc2cc(Br)ccc2c1C(=O)N1CCCc2c(F)cccc21,OADMET-0006594,5.614046338454202
O=C(C1CC12CCc1ccccc12)N1CCC(c2nnc[nH]2)C1,OADMET-0006593,4.0354735582202625
Cc1nc2c3ccccc3nc(SCCCC(=O)N(C)C)n2n1,OADMET-0006592,4.320643352255641
COc1cccc2c1CCCCN2C(=O)CCc1nc(C2CCCC2)no1,OADMET-0006591,5.577170558095569
CC1Cc2ccccc2N(C(=O)c2c3ccc(Br)cc3nn2C)C1,OADMET-0006590,5.852176244152983
Cc1cc(C)nc(N2CCCC2c2nncn2C)n1,OADMET-0006589,3.7465353442283873
COc1ccccc1-n1ncc(C(=O)NCC(C)(O)c2ccccc2Cl)c1C,OADMET-0006588,5.480107424253043
Cc1ccc(S(=O)(=O)CC(=O)N2CCCCC2)cc1C,OADMET-0006587,5.0647509532352935
COc1ccccc1-n1ncc(C(=O)NCC2(C)CSCCO2)c1C,OADMET-0006586,5.007180232695736
O=C(O)c1ccc(S(=O)(=O)Nc2cc3n(n2)CCCC3)cc1C(F)(F)F,OADMET-0006585,4.2231809458334535
COc1ccccc1-n1ncc(C(=O)NC2CCOC(C)(C)C2)c1C,OADMET-0006584,4.711546665546253
CCc1n[nH]c(=O)c(CNC(=O)N2CC(C)(C)C2c2ccccc2)c1CC,OADMET-0006583,5.3307438545361645
O=C(CNc1ccccc1)N1CCOC(c2ccc(F)cc2)C1,OADMET-0006582,4.512146698593458
CC(C)c1ccnc(N2CCN(C(=O)Nc3ccccc3C(F)(F)F)CC2)n1,OADMET-0006581,5.6219715275284585
Cc1cc(S(=O)(=O)Nc2ccccc2CN(C)C)sc1C,OADMET-0006580,5.066516348047713
COC(=O)c1c(CSc2cc(F)c(F)c(F)c2)nn2c1CCCC2,OADMET-0006579,5.194484081710371
Cc1ccc(S(=O)(=O)N(C)Cc2ccco2)cc1C,OADMET-0006578,5.075584317950868
CS(=O)(=O)Cc1ccc(C(=O)N2CCCCCc3ccccc32)o1,OADMET-0006577,5.394743840050134
O=S(=O)(Nc1cccc(Cl)c1N1CCOCC1)c1ccccc1Br,OADMET-0006576,5.77320256531215
O=C(c1ccc(OCC2CCCO2)cc1)N1CCn2cccc2C1c1ccccc1,OADMET-0006575,4.991175133989842
O=S(=O)(c1ccccc1-c1ccccc1)N1CCOCC1CC1CCOC1,OADMET-0006574,5.259210780151658
c1cnc(COc2ccc(NCC3(C4CCCO4)CC3)cc2)cn1,OADMET-0006573,3.756482734320422
CC1CCN(C(=O)c2ccc(OCC(=O)O)cc2)c2c(O)cccc21,OADMET-0006572,3.935957368850137
CCC1C(C(=O)O)CCN1S(=O)(=O)c1cccc2ccc(C)nc12,OADMET-0006571,4.575856643826173
CCOc1ccc(S(=O)(=O)N(CC)CC)cc1NC(=O)C1CCC1,OADMET-0006570,5.50312616943795
CCCC1C(=O)NCCN1C(=O)c1ccnc(N2CCCC(C)C2)c1,OADMET-0006568,5.013912053905877
O=C(NCC(F)(F)F)c1ccc(S(=O)(=O)NC2CCCCC2)cc1,OADMET-0006567,5.028694548263134
CC(O)CCNc1cccc(-n2cnc3ccccc32)n1,OADMET-0006566,3.438492736848072
CC1CCCN(c2cc(C(=O)NC3CCOC3(C)C)ccn2)C1,OADMET-0006565,4.754253428692201
Cc1ccc(S(=O)(=O)N(C)Cc2nccn2C(F)F)cc1C,OADMET-0006564,5.1065273767802974
Cn1cc(C2=CCCN(S(=O)(=O)c3ccc(Cl)s3)C2)cn1,OADMET-0006562,4.934400212240564
CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)COC2CCCCC2)c1,OADMET-0006561,5.415733440689531
CC(C)c1ncc(NS(=O)(=O)c2cnn(C3CCC3)c2)cn1,OADMET-0006560,4.732592019361003
COc1cnc(NS(=O)(=O)c2cccc(Cl)c2Cl)nc1,OADMET-0006559,4.322849336125055
Cc1cc(S(=O)(=O)N2CCC=C(c3cnn(C)c3)C2)sc1C,OADMET-0006558,5.203277760345674
CCN(CC)S(=O)(=O)c1ccc(OC)c(NS(=O)(=O)c2ccc(NC(C)=O)cc2)c1,OADMET-0006557,5.234037820641596
CCc1nc(C)c(C(=O)N2CCCCC2c2nccn2CC)o1,OADMET-0006556,4.776641060649057
Cc1ccc(S(=O)(=O)N(C)Cc2ccsc2)cc1C,OADMET-0006555,5.24297486298051
Cc1cccc(S(=O)(=O)N2CC3(CCC3)C3COCC32)c1C#N,OADMET-0006554,5.795450928770796
NS(=O)(=O)c1ccc(CCNC(=O)Nc2cccc(C(F)(F)F)c2)cc1,OADMET-0006553,4.480332985967933
CSC(C)C(=O)NC1CCN(c2ccccc2OC(F)F)C1,OADMET-0006552,5.051083882331302
NC(=O)NCc1ccc(C(=O)N2CCCCCc3ccccc32)cc1,OADMET-0006551,4.8853196942638935
CCNS(=O)(=O)c1ccc(C(=O)N2CCC(C)c3cccc(O)c32)cc1,OADMET-0006550,5.636854811289957
COc1cccc(NC(=O)C(C)Sc2nc3ccccc3c3nc(C)nn23)c1,OADMET-0006549,5.156153729437753
COc1ccc(NC(=O)C2CCCO2)cc1OC(F)F,OADMET-0006548,4.0154286061400555
COc1ccccc1-c1cn(Cc2cc3n(n2)CCC3)nn1,OADMET-0006547,4.974885825094104
O=S(=O)(NCC(O)c1cccc2ccccc12)c1c(Cl)cccc1Cl,OADMET-0006546,5.61182799564458
Cc1cc(C)c(S(=O)(=O)NC(C)c2cccnc2)c(C)c1,OADMET-0006545,5.102868240784332
COCCC(=O)NC1CCN(c2ccccc2OC(F)F)C1,OADMET-0006544,4.488429522274558
Cc1noc(C)c1S(=O)(=O)Nc1cccc(Cl)c1N1CCOCC1,OADMET-0006543,5.405345911559649
O=S(=O)(NCC(O)c1cccc2ccccc12)c1ccccc1F,OADMET-0006542,5.387471081766092
Cc1cccc(S(=O)(=O)N2CC(N(C)C)C2)c1C#N,OADMET-0006541,4.1479539433806725
O=S(=O)(NCC(O)c1cccc2ccccc12)c1ccccc1Br,OADMET-0006540,5.504654771643697
COc1ccc(C(=O)NC(C)c2cccnc2)cc1S(=O)(=O)N1CCCC1,OADMET-0006539,5.0386127773766844
CC(=O)Nc1ccc(Cl)c(-n2nnnc2C2CC2)c1,OADMET-0006537,4.005548797929096
CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)C2CCCO2)c1,OADMET-0006536,4.901423526870027
O=C(CCOc1ccccc1)Nc1ccc(Cl)c(-n2nnnc2C2CC2)c1,OADMET-0006535,5.044737523367068
CNS(=O)(=O)c1ccc(C(=O)NC2(C)CC=CCC2)cn1,OADMET-0006534,4.871215393750029
