htchem_id,compound_id,smiles,molecule_name,source_type,ocnt_id,batch_id,pec50,corrected_pec50,corrected_pec50_se,corrected_pec50_ci95,product_yield_percent,volatility,cad_yield_volatility_note,emax_normalized
303,13991,COC(C)(C(=O)NC(c1ccccc1)c1ccc2[nH]cnc2c1)c1ccccc1,OCNT-2432467,crude,OCNT-2432467,ZZ-002,5.112382699664264,5.326270415944437,0.2611624842550324,0.5118784691398636,61.11,Non-volatile,Non-volatile,1.34
280,13968,C=CCOCCCNC(=O)C(C)(OC)c1ccccc1,OCNT-2432474,crude,OCNT-2432474,ZZ-002,3.605548319173784,4.498413075037412,0.3041937448392485,0.596219739884927,12.797797797797797,Non-volatile,Non-volatile,1.24
366,14054,COC(C)(C(=O)N[C@@H](C)CN(C)CCCN(C)C)c1ccccc1,OCNT-2432481,crude,OCNT-2432481,ZZ-002,3.42021640338319,3.645846130544026,0.2989322525459389,0.5859072149900404,59.47990590861972,Semi-volatile,Semi-volatile,1.3
443,14131,COC(C)(C(=O)NC(Cc1ccc(F)cc1)C1COc2ccccc2O1)c1ccccc1,OCNT-2432502,crude,OCNT-2432502,ZZ-002,5.505845405981558,5.437978776354719,0.1926014829819614,0.3774989066446443,116.91402968356203,Non-volatile,Non-volatile,1.37
383,14071,COC(C)(C(=O)NCc1c(O)ccc2ccccc12)c1ccccc1,OCNT-2432504,crude,OCNT-2432504,ZZ-002,1.7594507517174005,1.8586844862318803,0.5691614198295056,1.115556382865831,79.57309778274046,Non-volatile,Non-volatile,1.27
451,14139,COC(C)(C(=O)NCCCCn1c(=O)oc2ccccc12)c1ccccc1,OCNT-2432507,crude,OCNT-2432507,ZZ-002,5.166852888087215,5.227394360534145,0.1709145981121884,0.3349926122998893,86.98783610755443,Non-volatile,Non-volatile,0.563
341,14029,COC(C)(C(=O)N[C@H]1CCO[C@@H]1c1cncc(-c2ccccc2F)c1)c1ccccc1,OCNT-2432509,crude,OCNT-2432509,ZZ-002,5.3535962737769305,5.381810543754107,0.1698040852192668,0.332816007029763,93.70995514976774,Non-volatile,Non-volatile,1.27
431,14119,CCC(NC(=O)C(C)(OC)c1ccccc1)c1cccc2cc[nH]c12,OCNT-2432518,crude,OCNT-2432518,ZZ-002,5.598599459218456,6.323177425565265,0.1594081204601699,0.312439916101933,18.85480449833913,Non-volatile,Non-volatile,0.926
388,14076,COC(C)(C(=O)NCC1(C)NC(=O)NC1=O)c1ccccc1,OCNT-2432523,crude,OCNT-2432523,ZZ-002,3.3872161432802645,3.3783686469633936,0.3141539003195556,0.615741644626329,102.05810409816344,Non-volatile,Non-volatile,1.2
438,14126,C=C1C(NC(=O)C(C)(OC)c2ccccc2)C[C@H]2C[C@@H]1C2(C)C,OCNT-2432526,crude,OCNT-2432526,ZZ-002,5.504455662453552,5.793391022919264,0.1497942915580466,0.2935968114537714,51.41201665198943,Semi-volatile,Semi-volatile,0.772
257,13945,COC(C)(C(=O)NC1COc2ccc3ncccc3c2C1)c1ccccc1,OCNT-2432550,crude,OCNT-2432550,ZZ-002,1.7423214251308154,1.918493216507518,0.545021060370008,1.0682412783252155,66.654305644644,Non-volatile,Non-volatile,1.28
363,14051,COC(C)(C(=O)NC(C)c1cc2cc(Br)ccc2[nH]1)c1ccccc1,OCNT-2432559,crude,OCNT-2432559,ZZ-002,5.103473782510445,5.6906948593653786,0.2294237213422236,0.4496704938307583,25.86895725129844,Non-volatile,Non-volatile,0.652
390,14078,COC(C)(C(=O)NC(c1ccc(C)o1)C1(C)CCCO1)c1ccccc1,OCNT-2432565,crude,OCNT-2432565,ZZ-002,5.138465589140962,5.71117189330649,0.1608919142494095,0.3153481519288427,26.748146663995197,Semi-volatile,Semi-volatile,0.791
449,14137,COC(C)(C(=O)NC1(c2cncn2C)CC1)c1ccccc1,OCNT-2432570,crude,OCNT-2432570,ZZ-002,3.903089986991944,4.258151147948965,0.3196100207625691,0.6264356406946355,44.15082661129304,Semi-volatile,Semi-volatile,0.868
344,14032,COC(C)(C(=O)NC(c1cncc(Br)c1)C1CC1)c1ccccc1,OCNT-2432577,crude,OCNT-2432577,ZZ-002,5.1438755557577,5.615977503384645,0.1533216387483158,0.300510411946699,33.72081420874078,Non-volatile,Non-volatile,1.3
