train_id,compound_id,molecule_name,smiles,pec50,counter_pec50,counter_emax,counter_emax_vs_pos_ctrl,log2fc_8_25e_6,log2fc_3_30e_5,logp,tpsa,exactmw,fractioncsp3,hba,hbd,num_heavy_atoms,num_heteroatoms,num_rotatable_bonds,num_rings,num_aromatic_rings,num_bridgehead_atoms,murcko_scaffold,pred,residual,abs_error,member_std,member_range,chemprop_family_mean,non_chemprop_mean,family_gap,abs_family_gap,nn_potent46_tanimoto,is_potent46,high_member_std_top10,high_family_gap_top10,chemprop_family_high_vs_non_top10,chemprop_family_low_vs_non_bottom10,high_abs_error_top10,underpredicted_top10,overpredicted_bottom10,has_counter,counter_above_main,has_single_conc_hi,has_single_conc_lo,single_hi_low,single_lo_low,near_potent46_t04,near_potent46_t03,high_logp_top10,high_mw_top10,high_tpsa_top10
1730,1730,OADMET-0003652,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,6.58,2.24,1.31,1.18,,,2.733220100402832,93.05999755859375,320.1259765625,0.4117647111415863,6,2,23,6,6,2,1,0,O=C1OCc2ccccc21,3.02522226560463,3.55477773439537,3.55477773439537,0.194704649159763,0.7255711555480957,3.0033116340637207,3.057561198870341,-0.05424956480662013,0.05424956480662013,1.0,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False
1677,1677,OADMET-0003707,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6.08,4.56,5.92,47.9,,,0.0013000000035390258,206.07000732421875,543.174072265625,0.4444444477558136,12,7,39,12,5,5,2,0,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,2.7881351629507196,3.2918648370492805,3.2918648370492805,0.4363213983525653,1.3732268810272217,2.7774152755737305,2.9425392548243203,-0.16512397925058986,0.16512397925058986,1.0,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,True
1654,1654,OADMET-0003730,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,5.74,2.13,1.13,0.673,,,2.697200059890747,121.11000061035156,552.3536376953125,0.6206896305084229,11,4,40,11,9,5,2,0,c1cc(N2CCC(N3CCNCC3)CC2)ccc1Nc1cncc(NC2CCOCC2)n1,2.489682866415931,3.250317133584069,3.250317133584069,0.2578645865071384,0.6820166110992432,2.3896303176879883,2.7891055742899575,-0.39947525660196925,0.39947525660196925,0.1792452830188679,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True
2120,2120,OADMET-0003248,O=C(C1SCCc2sccc21)N1CCC(c2ccncc2)CC1,1.83,3.24,1.49,0.707,,,3.879699945449829,33.20000076293945,344.1017150878906,0.4444444477558136,3,0,23,5,2,4,2,0,O=C(C1SCCc2sccc21)N1CCC(c2ccncc2)CC1,4.7377456623373675,-2.9077456623373674,2.9077456623373674,0.21743815359875546,0.6702966690063477,4.7564107577006025,4.773289759953816,-0.016879002253213926,0.016879002253213926,0.20833333333333334,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1675,1675,OADMET-0003709,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,1.82,2.63,1.04,0.873,0.8147037142846648,1.0610152049673134,1.3528000116348267,100.87000274658203,419.1292724609375,0.3499999940395355,8,2,30,10,3,4,2,0,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1CCCO[C@H]1C2,4.689050582774634,-2.8690505827746335,2.8690505827746335,0.18085211793215977,0.509918212890625,4.7420125007629395,4.535859664281209,0.20615283648173044,0.20615283648173044,0.23333333333333334,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,True,False
1906,1906,OADMET-0003468,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(C#N)c(SC)[nH]c1=O,1.85,1.91,1.51,0.553,,,1.5368800163269043,130.63999938964844,409.120849609375,0.20000000298023224,8,4,29,9,6,3,3,0,O=C(NCCc1c[nH]c2ccccc12)c1ccc[nH]c1=O,4.5798248422956,-2.7298248422955997,2.7298248422955997,0.18759385908213932,0.6602382659912109,4.648775418599446,4.352173487345378,0.2966019312540684,0.2966019312540684,0.16326530612244897,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True
2084,2084,OADMET-0003285,O=C(NS(=O)(=O)c1ccc(-n2cccn2)c(F)c1)c1ccnn1-c1ccccc1,1.73,3.06,1.62,0.816,,,2.3157999515533447,98.87999725341797,411.08013916015625,0.0,8,1,29,10,5,4,4,0,O=C(NS(=O)(=O)c1ccc(-n2cccn2)cc1)c1ccnn1-c1ccccc1,4.437511754267424,-2.7075117542674243,2.7075117542674243,0.26464901187228373,0.7631034851074219,4.381797472635905,4.657396634419759,-0.2755991617838536,0.2755991617838536,0.24705882352941178,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False
1495,1495,OADMET-0004205,C[C@H]1C[C@@H](C(=O)Nc2ccc(F)cc2-c2nc3ccccc3s2)CCN1,1.72,,,,0.4285699257713473,1.066188734514923,4.428999900817871,54.02000045776367,369.131103515625,0.30000001192092896,4,2,26,6,3,4,3,0,O=C(Nc1ccccc1-c1nc2ccccc2s1)C1CCNCC1,4.41382550221045,-2.6938255022104505,2.6938255022104505,0.2701347713339856,0.8884897232055664,4.383912563323975,4.406779766082764,-0.022867202758789062,0.022867202758789062,0.23469387755102042,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
3192,3192,OADMET-0001956,O=C(Nc1nc2ccc([N+](=O)[O-])cc2s1)C1CCCCC1,1.86,,,,,,3.723299980163574,85.12999725341797,305.0834045410156,0.4285714328289032,6,1,21,7,3,3,2,0,O=C(Nc1nc2ccccc2s1)C1CCCCC1,4.522821558563455,-2.6628215585634543,2.6628215585634543,0.25351671298007755,0.844031810760498,4.49068021774292,4.689857006072998,-0.19917678833007812,0.19917678833007812,0.2087912087912088,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1668,1668,OADMET-0003716,CC[C@@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,5.64,1.9,1.11,0.654,,,3.9909000396728516,154.10000610351562,810.4203491210938,0.5869565010070801,13,3,59,13,7,9,3,2,C1=CC2CC[C@@H]3Nc4ccc(C5C[C@@H]6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4[C@@]34CCN(C1)[C@@H]24,3.056585990456701,2.5834140095432985,2.5834140095432985,0.8980724654530353,2.5538439750671387,2.6437392234802246,4.278694748878479,-1.6349555253982544,1.6349555253982544,0.1796875,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True
